City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
217,Leshukonskoye,RU,2022-06-21 04:42:43,64.8989,45.7622,56.354000000000056,61,69,3.32,broken clouds
218,Little Current,CA,2022-06-21 04:42:44,45.9793,-81.9248,57.254000000000055,94,38,3.28,scattered clouds
219,Apt,FR,2022-06-21 04:42:45,43.8833,5.4,68.75600000000003,58,92,3.06,overcast clouds
220,Asau,RO,2022-06-21 04:42:45,46.4333,26.4,63.518000000000086,80,2,2.56,clear sky
221,Ugoofaaru,MV,2022-06-21 04:42:46,5.6667,73.0,83.4260000000001,70,100,6.33,overcast clouds
222,Kitimat,CA,2022-06-21 04:42:46,54.0524,-128.6534,57.57800000000007,23,100,0.45,overcast clouds
223,Krasnoselkup,RU,2022-06-21 04:42:47,65.7,82.4667,81.66200000000006,33,60,5.69,broken clouds
224,Brigantine,US,2022-06-21 04:42:02,39.4101,-74.3646,66.99199999999999,83,100,3.95,overcast clouds
225,Iqaluit,CA,2022-06-21 04:41:18,63.7506,-68.5145,44.33000000000004,75,20,3.6,few clouds
226,Cayenne,GF,2022-06-21 04:43:48,4.9333,-52.3333,76.08200000000002,1,40,1.03,scattered clouds
227,Satipo,PE,2022-06-21 04:43:48,-11.2522,-74.6386,67.71200000000006,86,96,0.91,overcast clouds
228,Clyde River,CA,2022-06-21 04:43:49,70.4692,-68.5914,39.43399999999999,75,100,5.66,overcast clouds
229,Jiangyou,CN,2022-06-21 04:43:49,31.7667,104.7167,88.05200000000008,57,74,2.6,broken clouds
230,Byron Bay,AU,2022-06-21 04:43:50,-28.65,153.6167,70.95200000000008,59,0,2.48,clear sky
231,Kyzyl-Suu,KG,2022-06-21 04:43:51,42.3414,78.0056,64.81400000000004,53,66,2.67,broken clouds
232,Wanning,CN,2022-06-21 04:43:51,18.8003,110.3967,88.808,71,96,6.29,overcast clouds
233,Abaza,RU,2022-06-21 04:43:52,52.655,90.0928,74.642,45,69,2.15,light rain
234,Kaeo,NZ,2022-06-21 04:43:52,-35.1,173.7833,55.32800000000007,81,100,5.84,overcast clouds
235,Antofagasta,CL,2022-06-21 04:43:53,-23.65,-70.4,58.280000000000044,84,23,0.65,few clouds
236,Darnah,LY,2022-06-21 04:43:53,32.767,22.6367,73.23800000000006,69,0,5.33,clear sky
237,Plouzane,FR,2022-06-21 04:43:54,48.3833,-4.6167,57.38000000000004,94,0,4.12,light rain
238,Nyurba,RU,2022-06-21 04:43:55,63.2842,118.3319,65.55200000000008,29,77,3.98,broken clouds
239,Stephenville,US,2022-06-21 04:43:55,32.2207,-98.2023,87.8180000000001,45,40,4.12,scattered clouds
240,Coahuayana,MX,2022-06-21 04:43:56,18.7333,-103.6833,79.79000000000002,83,99,0.13,overcast clouds
241,Provideniya,RU,2022-06-21 04:43:56,64.3833,-173.3,39.36200000000006,100,100,5.0,fog
242,Micheweni,TZ,2022-06-21 04:43:57,-4.9667,39.8333,79.03399999999999,67,31,6.36,light rain
